label,rmse,rmse_clim,skill,corr,bias,n
Ridge(alpha=200) | all | clim=40%,13.317280561233789,11.484905413049841,-0.15954638564997614,0.8106353548921656,-0.01605167136507646,222
Ridge(alpha=100) | all | clim=35%,13.330699809090023,11.484905413049841,-0.16071481041044344,0.7958406018706724,-0.043699683846469384,222
Ridge+RF+GBR | core6 | clim=40%,13.371799916012451,11.484905413049841,-0.16429342995011575,0.8286888368223578,0.09472303797481274,222
Ridge(alpha=200) | core4 | clim=60%,13.374956057061263,11.484905413049841,-0.16456823770301443,0.8365681334409153,0.022803860831544398,222
Ridge(alpha=500) | core4 | clim=60%,13.389793434225382,11.484905413049841,-0.16586014012889416,0.8413805814165952,0.019830533011148788,222
Ridge(alpha=100) | core4 | clim=60%,13.392001020789083,11.484905413049841,-0.16605235647585603,0.831066181747821,0.023682875341542342,222
Ridge+BayesRidge | core4 | clim=60%,13.415507781217109,11.484905413049841,-0.16809910911182602,0.8317274949832426,0.023284545950406965,222
Ridge(alpha=50) | core4 | clim=60%,13.423489571607796,11.484905413049841,-0.16879409005451795,0.8255080771450416,0.023351839569020427,222
Ridge(alpha=50) | core8 | clim=50%,13.431844926224288,11.484905413049841,-0.16952159753638174,0.8400869338397419,-0.023622252373698416,222
ensemble | core8 | clim=40%,13.435432865767877,11.484905413049841,-0.1698340023333349,0.8427948955758884,-0.533664728071539,222
Ridge+RF+GBR+XGB | core4 | clim=50%,13.440318717242848,11.484905413049841,-0.17025941737153083,0.8077095627435718,0.2139714380949549,222
BayesRidge | core4 | clim=60%,13.441058605307834,11.484905413049841,-0.1703238400235576,0.8322428351484426,0.02288621655927159,222
Ridge+RF+GBR | core8 | clim=35%,13.448894099697975,11.484905413049841,-0.1710060828551998,0.8338848862178015,0.12774736796602681,222
Ridge+RF | all | clim=30%,13.458309667287134,11.484905413049841,-0.17182590393778874,0.8173589370918806,0.1150240934941884,222
BayesRidge | core8 | clim=50%,13.485191578804441,11.484905413049841,-0.1741665337079532,0.837103275006365,-0.044102712572591685,222
Ridge+RF+GBR | all | clim=20%,13.486694901750957,11.484905413049841,-0.17429742925236136,0.810642680097752,0.1190225527355615,222
Ridge+RF+GBR+XGB | core6 | clim=35%,13.487427940137424,11.484905413049841,-0.1743612554973415,0.8144241754043416,0.13808435407433706,222
ElasticNet | core4 | clim=60%,13.492229422017921,11.484905413049841,-0.17477932440673283,0.8177229407152088,0.02236016344592784,222
Ridge(alpha=10) | core4 | clim=60%,13.499290514640219,11.484905413049841,-0.17539413945033555,0.816323784170003,0.01891843898274459,222
Ridge(alpha=50) | all | clim=30%,13.50069811155342,11.484905413049841,-0.17551670005162734,0.7775126643924745,-0.0859194617404988,222
Ridge+RF+GBR | core4 | clim=50%,13.505290183252274,11.484905413049841,-0.17591653544719232,0.8152687616467529,0.18254147978630186,222
